node_id,old_index
1628,2122
1629,165
1630,1015
1631,3600
1632,868
1633,4116
1634,1964
1635,2561
1636,2267
1637,3472
1638,4161
1639,3429
1640,5229
1641,4180
1642,4131
1643,3197
1644,3078
1645,2437
1646,4123
1647,4151
1648,21
1649,609
1650,4133
1651,3512
1652,3756
1653,3987
1654,5581
1655,1243
1656,259
1657,3166
1658,45
1659,439
1660,1581
1661,1
1662,3707
1663,151
1664,2316
1665,3114
1666,2208
1667,4862
1668,3655
1669,5007
1670,1641
1671,1910
1672,1900
1673,5152
1674,70
1675,388
1676,5049
1677,405
1678,3245
1679,2619
1680,2985
1681,5432
1682,3060
1683,3959
1684,920
1685,1056
1686,1721
1687,928
1688,2105
1689,1271
1690,5389
1691,1834
1692,1744
1693,2070
1694,2144
1695,2228
1696,951
1697,2602
1698,3966
1699,2259
1700,1545
1701,664
1702,4127
1703,160
1704,695
1705,1642
1706,885
1707,1539
1708,329
1709,762
1710,4175
1711,766
1712,1099
1713,2178
1714,437
1715,5470
1716,4169
1717,2511
1718,2539
1719,1819
1720,4168
1721,4158
1722,1232
1723,4139
1724,2773
1725,3584
1726,400
1727,1566
1728,118
1729,2508
1730,4750
1731,2828
1732,5041
1733,2901
1734,4772
1735,82
1736,2892
1737,3430
1738,41
1739,2987
1740,31
1741,1009
1742,1543
1743,4138
1744,890
1745,4164
1746,1431
1747,3666
1748,3063
1749,3128
1750,5388
1751,2285
1752,1102
1753,1332
1754,1680
1755,2319
1756,597
1757,1980
1758,1423
1759,1490
1760,1735
1761,3162
1762,1608
1763,2337
1764,4129
1765,2095
1766,845
1767,1567
1768,3139
1769,3447
1770,924
1771,3286
1772,4121
1773,4153
1774,393
1775,4149
1776,1153
1777,71
1778,5513
1779,243
1780,4163
1781,1774
1782,4154
1783,1969
1784,4155
1785,720
1786,4147
1787,5180
1788,1672
1789,1495
1790,250
1791,130
1792,4181
1793,1991
1794,4156
1795,357
1796,2492
1797,872
1798,1502
1799,2509
1800,3678
1801,1517
1802,356
1803,3466
1804,2994
1805,5353
1806,3123
1807,4140
1808,3973
1809,2411
1810,3309
1811,2771
1812,3610
1813,2309
1814,2346
1815,2943
1816,3361
1817,3533
1818,3697
1819,3316
1820,4880
1821,5125
1822,624
1823,875
1824,989
1825,367
1826,1025
1827,140
1828,4964
1829,332
1830,990
1831,105
1832,992
1833,1028
1834,3276
1835,285
1836,1027
1837,993
1838,938
1839,854
1840,3003
1841,321
1842,1365
1843,3773
1844,3941
1845,397
1846,4166
1847,4172
1848,4136
1849,2270
1850,4186
1851,1736
1852,286
1853,789
1854,258
1855,1507
1856,200
1857,1100
1858,11
1859,3397
1860,5220
1861,4911
1862,5363
1863,3270
1864,3257
1865,5571
1866,3356
1867,3848
1868,4187
1869,4827
1870,2523
1871,3106
1872,1568
1873,3692
1874,3365
1875,4777
1876,1057
1877,4143
1878,153
1879,293
1880,2407
1881,1690
1882,317
1883,5539
1884,656
1885,4182
1886,2471
1887,4177
1888,4834
1889,1921
1890,2045
1891,1781
