src,dst,rel,label,edge_semantic,edge_reason
230,1355,drug_disease,2,negative,direct:mechanism
230,1504,drug_disease,2,negative,direct:mechanism
231,605,drug_disease,2,negative,direct:mechanism
231,1504,drug_disease,2,negative,direct:mechanism
231,1509,drug_disease,2,negative,direct:mechanism
232,1355,drug_disease,2,negative,direct:mechanism
232,1504,drug_disease,2,negative,direct:mechanism
232,1507,drug_disease,2,negative,direct:mechanism
233,1355,drug_disease,2,negative,direct:mechanism
234,605,drug_disease,2,negative,direct:mechanism
234,1355,drug_disease,2,negative,direct:mechanism
235,1355,drug_disease,2,negative,direct:mechanism
236,1547,drug_disease,2,negative,direct:mechanism
237,1547,drug_disease,2,negative,direct:mechanism
238,1355,drug_disease,2,negative,direct:mechanism
239,1512,drug_disease,2,negative,direct:mechanism
240,1355,drug_disease,2,negative,direct:mechanism
241,374,drug_disease,2,negative,direct:mechanism
242,1509,drug_disease,2,negative,direct:mechanism
243,1510,drug_disease,2,negative,direct:mechanism
244,1510,drug_disease,2,negative,direct:mechanism
245,1510,drug_disease,2,negative,direct:mechanism
246,1355,drug_disease,2,negative,direct:mechanism
247,1635,drug_disease,1,positive,direct:therapeutic
248,1653,drug_disease,1,positive,direct:therapeutic
248,1654,drug_disease,1,positive,direct:therapeutic
249,1561,drug_disease,1,positive,direct:therapeutic
250,1655,drug_disease,1,positive,direct:therapeutic
251,1611,drug_disease,1,positive,direct:therapeutic
251,1656,drug_disease,1,positive,direct:therapeutic
136,1657,drug_disease,1,positive,direct:therapeutic
252,1502,drug_disease,1,positive,direct:therapeutic
252,1507,drug_disease,1,positive,direct:therapeutic
138,1639,drug_disease,1,positive,direct:therapeutic
138,1519,drug_disease,1,positive,direct:therapeutic
138,1521,drug_disease,1,positive,direct:therapeutic
138,1658,drug_disease,1,positive,direct:therapeutic
138,1659,drug_disease,1,positive,direct:therapeutic
138,1660,drug_disease,1,positive,direct:therapeutic
138,1661,drug_disease,1,positive,direct:therapeutic
138,1525,drug_disease,1,positive,direct:therapeutic
138,1516,drug_disease,1,positive,direct:therapeutic
138,1544,drug_disease,1,positive,direct:therapeutic
138,1505,drug_disease,1,positive,direct:therapeutic
138,1507,drug_disease,1,positive,direct:therapeutic
138,1558,drug_disease,1,positive,direct:therapeutic
138,1559,drug_disease,1,positive,direct:therapeutic
138,1561,drug_disease,1,positive,direct:therapeutic
138,1537,drug_disease,1,positive,direct:therapeutic
138,1662,drug_disease,1,positive,direct:therapeutic
138,1517,drug_disease,1,positive,direct:therapeutic
138,1538,drug_disease,1,positive,direct:therapeutic
